"ano";"turno";"tipo_eleicao";"sigla_uf";"id_municipio";"id_municipio_tse";"cargo";"sigla_partido";"numero_candidato";"sequencial_candidato";"id_candidato_bd";"resultado";"votos"
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PRTB";28444;10000607178;1425762;"nao eleito";16
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PRTB";28999;10000607179;103575;"nao eleito";22
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PRTB";28000;10000607180;1434233;"nao eleito";130
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PRTB";28333;10000607181;1460712;"nao eleito";250
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PRTB";28123;10000607182;35742;"nao eleito";62
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PRTB";28456;10000607183;1495220;"nao eleito";24
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PRTB";28190;10000607184;18111;"nao eleito";188
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PRTB";28178;10000625367;1420313;"nao eleito";22
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PRTB";28001;10000628778;200705;"nao eleito";0
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PSB";40123;10000604760;288316;"suplente";3499
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PSB";40800;10000604761;767958;"suplente";257
